Calf #,DOB,Sex,Color,Sire,wt. 4/14,4/14-Wt/DofA,4/14-205Wt.,WT5/5,5/5-Wt/DofA,5/5-205Wt.,Wt5-11,5/11-Wt/DofA,5/11-205Wt.,Wt5-15,5/15-Wt/DofA,5/15-205Wt.
9135,6/12/2018,H,Bk/Wf,R0723,826,2.7,601,908,2.78,621,908,2.73,611,932,2.77,620
9356,7/11/2018,H,Bk mottle,Objective,728,2.63,581,798,2.68,595,772,2.54,567,798,2.59,578
9996,7/7/2018,H,Bk/wforehead,WarParty,702,2.5,554,742,2.46,549,784,2.55,569,792,2.54,568
145,7/14/2018,H,Bk/MF,Objective,664,2.42,536,704,2.39,533,722,2.4,536,762,2.5,558
1752,8/12/2018,H,Bk,Objective,692,2.82,615,722,2.71,597,736,2.71,596,750,2.72,599
2052,8/18/2018,H,Bk/Mf,Regis,684,2.86,621,718,2.76,605,720,2.71,595,746,2.76,608
4135b,8/17/2018,H,Bk,Regis,652,2.72,591,712,2.73,598,732,2.74,603,740,2.73,601
2264,8/24/2018,H,Bk,Objective,644,2.76,599,682,2.69,587,676,2.6,571,738,2.8,613
8286,8/13/2018,H,Black,WarParty,686,2.81,612,702,2.65,582,734,2.71,596,734,2.67,589
2236,8/30/2018,H,Bk,Elation,646,2.85,614,650,2.62,572,690,2.72,594,724,2.81,614
264,8/23/2018,H,Bk,Obective,636,2.72,589,686,2.69,589,708,2.71,595,708,2.67,587
5052,8/15/2018,H,Bk,Elation,646,2.67,581,682,2.59,570,688,2.56,564,698,2.56,565
4045,7/25/2018,H,Bk,Elation,658,2.5,551,670,2.36,525,676,2.33,520,694,2.36,527
4552,9/4/2018,H,Bk,Elation,622,2.8,603,672,2.77,602,690,2.77,605,694,2.74,600
5436,8/13/2018,H,Bk,Elation,644,2.64,575,672,2.54,558,704,2.6,573,690,2.51,555
6835B,8/6/2018,H,Bk,Elation,616,2.45,538,614,2.26,500,674,2.42,537,684,2.43,538
3364,8/13/2018,H,Bk,Obective,572,2.34,512,620,2.34,516,652,2.41,532,678,2.47,545
0815B,9/3/2018,H,Bk,Regis,602,2.7,582,660,2.7,589,624,2.5,546,674,2.65,581
4886,8/11/2018,H,Red,WarParty,648,2.63,575,650,2.43,537,678,2.48,549,672,2.43,537
4764,8/22/2018,H,Bk,Obective,594,2.53,549,628,2.45,539,646,2.47,543,668,2.51,553
6052,8/11/2018,H,Bk,Elation,594,2.41,528,612,2.29,507,642,2.35,521,668,2.41,534
1296,9/8/2018,H,Bk,WarParty,572,2.62,564,616,2.58,561,622,2.54,554,664,2.67,582
2864,8/28/2018,H,Black,Regis,618,2.7,584,622,2.49,544,648,2.53,555,660,2.54,558
3825,8/11/2018,H,Red,Elation,646,2.63,573,660,2.47,545,694,2.54,561,654,2.36,524
86,9/4/2018,H,B/Wf,WP2052,592,2.67,575,588,2.42,528,618,2.48,543,644,2.55,557
7036,8/15/2018,H,BK/Mf,Regis,578,2.39,521,612,2.33,513,638,2.37,524,638,2.34,518
7864,9/17/2018,H,Red,WarParty,616,2.95,630,730,3.17,685,640,2.71,588,630,2.63,571
3052,10/12/2018,H,Bk,?,580,3.15,663,590,2.88,614,594,2.82,602,624,2.9,622
723,9/10/2018,H,Bk,Elation,598,2.77,594,598,2.52,548,620,2.55,556,612,2.48,542
7023,9/26/2018,H,Red,Obective,542,2.71,576,592,2.68,577,586,2.58,558,596,2.58,559
2936,8/14/2018,H,Red,WarParty,428,1.76,388,510,1.93,429,540,2,445,544,1.99,443
5264,9/4/2018,H,Bk,Objective,506,2.28,492,495,2.04,446,510,2.05,450,524,2.07,456
5364,10/4/2018,H,Bk,Elation,483,2.52,531,476,2.23,479,477,2.18,469,520,2.33,503
8264,9/21/2018,H,B/W,Objective,584,2.85,607,506,2.24,485,512,2.21,480,504,2.14,466
5246,9/10/2018,H,Bk,WarParty,441,2.04,439,464,1.96,428,494,2.03,446,500,2.02,445
5291,11/3/2018,H,Bk,Elation,411,2.54,520,450,2.46,515,481,2.54,536,492,2.55,539
8416,9/24/2018,H,Red,WarParty,425,2.1,447,460,2.06,446,477,2.08,452,488,2.09,456
6352,10/6/2018,H,Red,Elation,435,2.29,482,420,1.99,427,447,2.06,443,481,2.18,470
4136H,7/4/2018,H,Bk,Objective,428,1.51,343,438,1.44,332,474,1.52,352,478,1.52,351
9652,10/17/2018,H,Bk,Elation,423,2.36,492,434,2.17,461,456,2.21,472,458,2.18,467
4236,9/15/2018,H,Blk,Elation,410,1.94,416,401,1.73,378,427,1.79,393,428,1.77,389
4956,10/23/2018,H,Bk,WarParty,387,2.24,462,391,2.02,425,411,2.06,436,421,2.06,440
6152,8/31/2018,H,Bk,Elation,378,1.67,364,373,1.51,335,391,1.55,344,390,1.52,339
4996,8/13/2018,Died,,,,,,,,,,,,,,
5996,9/2/2018,Died,,,,,,,,,,,,,,
4835b,7/8/2018,Died,,,,,,,,,,,,,,
1135B,8/13/2018,B,Bk/mf,R0723,780,3.2,667,840,3.17,667,826,3.05,643,878,3.19,674
1552,6/28/2018,B,Red,Elation,864,2.98,633,836,2.69,577,856,2.7,580,862,2.69,578
4935B,6/24/2018,B,Bk/Mf,Regis,798,2.71,579,792,2.51,542,802,2.5,539,856,2.63,568
3723,6/26/2018,B,Bk,Objective,808,2.77,590,778,2.49,535,810,2.54,547,844,2.61,563
3196,6/24/2018,B,Bk,WarParty,812,2.76,589,780,2.48,534,778,2.42,524,812,2.5,540
552,9/8/2018,B,Bk/WF,Objection,760,3.49,719,790,3.31,688,782,3.19,667,804,3.23,675
5352,7/18/2018,B,Bk/Mf,Elation,766,2.84,600,752,2.58,552,778,2.62,560,802,2.66,570
8235B,8/30/2018,B,Blk,Ealtion,674,2.97,616,718,2.9,607,744,2.93,615,776,3.01,632
2436,8/13/2018,B,Bk,Objective,662,2.71,568,698,2.63,557,738,2.72,577,770,2.8,593
2164,8/14/2018,B,Red,Objective,730,3,628,866,3.28,689,706,2.61,554,758,2.77,586
5835b,7/13/2018,B,Bk,Elation,690,2.51,533,694,2.34,504,748,2.48,532,758,2.48,533
3764,8/27/2018,B,Bk,Objective,688,2.99,621,706,2.81,590,684,2.66,561,742,2.84,599
2736,8/16/2018,B,Bk,WarParty,716,2.97,620,716,2.73,577,744,2.78,587,730,2.68,569
9736,8/25/2018,B,Bk,Objective,718,3.09,643,680,2.69,565,722,2.79,587,728,2.77,584
9235B,8/24/2018,B,Bk,Regis,654,2.81,584,718,2.83,594,686,2.64,557,726,2.75,581
936,8/14/2018,B,Bk,Regis,636,2.62,548,700,2.65,560,690,2.56,542,722,2.64,559
136,8/27/2018,B,Red,Objectie,678,2.95,612,698,2.78,584,714,2.78,585,700,2.68,566
2091,8/20/2018,B,Black,Regis,664,2.8,584,686,2.66,560,674,2.55,540,698,2.6,552
1235B,9/2/2018,B,Black,Regis,610,2.72,565,672,2.74,575,686,2.73,574,698,2.74,576
3956,8/25/2018,B,Bk,WarParty,610,2.63,548,658,2.6,547,670,2.59,546,688,2.62,553
8135A,8/18/2018,B,B/mf,Regis,600,2.51,525,710,2.73,576,680,2.56,541,686,2.54,539
3664,8/21/2018,B,Black,Elation,654,2.77,578,614,2.39,505,662,2.52,533,658,2.46,523
5036,8/21/2018,B,Bk,Regis,572,2.42,507,638,2.48,524,630,2.4,508,658,2.46,523
7264,9/7/2018,B,Black,Objective,590,2.69,557,646,2.69,563,652,2.65,556,658,2.63,553
5206,9/8/2018,B,Bk,Elation,566,2.6,537,644,2.69,563,650,2.65,556,652,2.62,550
352,8/30/2018,B,Bk,Regis,606,2.67,555,606,2.44,514,635,2.5,527,646,2.5,529
1236,9/2/2018,B,Bk,WarParty,620,2.77,574,632,2.58,541,646,2.57,541,646,2.53,534
6236,8/29/2018,B,Black,Elation,580,2.54,529,602,2.42,509,608,2.38,503,642,2.48,524
8135B,8/24/2018,B,Bk/Wf,Regis,578,2.48,518,616,2.43,512,634,2.44,516,636,2.41,511
4136,7/4/2018,B,Blk/wf,Objective,606,2.13,458,634,2.08,451,618,1.99,433,614,1.95,426
9652,10/17/2018,B,Bk/Wf,,526,2.94,592,552,2.76,564,582,2.83,580,578,2.75,566
6736,10/2/2018,B,Red,Elation,544,2.8,571,554,2.58,532,580,2.62,543,568,2.52,524
1596,9/13/2018,B,R/MF,WarParty,538,2.53,521,546,2.33,488,546,2.28,477,566,2.32,488
3136,9/17/2018,B,Bk,Elation,516,2.47,508,548,2.38,497,556,2.36,493,566,2.36,494
2015B,9/11/2018,B,Black,Regis,534,2.48,513,524,2.22,465,562,2.32,488,562,2.28,481
5935B,8/15/2018,B,Blk,graph,451,1.86,394,514,1.95,417,546,2.03,434,539,1.97,423
4864,8/30/2018,B,Bk/wbelly,Elation,487,2.15,447,510,2.06,435,534,2.1,445,536,2.08,441
6396,9/16/2018,B,Bk,Regis,479,2.28,469,510,2.21,461,506,2.14,448,536,2.22,467
391,11/19/2018,B,Blk,Elation,476,3.26,638,516,3.09,616,516,2.98,598,508,2.87,576
5236,10/13/2018,B,Bk,Elation,432,2.36,475,502,2.46,504,484,2.3,474,490,2.29,473
7436,8/14/2018,B,Red,WarParty,476,1.96,413,456,1.73,371,464,1.72,370,475,1.73,374
1314,9/2/2018,B,Bk/Wf,Regis,384,1.71,358,437,1.78,378,424,1.69,360,448,1.76,375
1335B,8/16/2018,B,Red,WarParty,428,1.78,375,419,1.6,344,420,1.57,339,439,1.61,349
6452,11/19/2018,B,Bk,Elation,317,2.17,415,349,2.09,411,377,2.18,433,376,2.12,424
3736,8/27/2018,B,b,Objective,,,,,,,,,,,,
4206,9/4/2018,B,Bk/Wf,,,,,,,,,,,,,
2536,DNC,,,,,,,,,,,,,,,
5664,DNC,,,,,,,,,,,,,,,
8236,DNC,,,,,,,,,,,,,,,
8664,Abort,,,,,,,,,,,,,,,
5385b,DNC,,eye problem,,,,,,,,,,,,,
